,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,27,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,85435,0,1.0,0.0,0.0,0,0,0,0,40,True,0
1,0,0,0,0,0.0,27,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,97745,0,1.0,2.0,0.0,0,-233,6469,6702,40,False,0
2,0,0,0,0,0.0,27,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,13,0,0,0,0,3,0,98092,0,2.0,1.0,0.0,0,-2250,6820,9070,40,True,0
3,0,0,0,0,0.0,27,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,9,0,0,0,0,4,0,93956,0,2.0,2.0,0.0,0,-5251,3220,8471,40,True,0
4,0,0,6,0,0.0,27,0.0,0.0,0.0,0.55,48,2,0,0.5,5.0,2023-09-16T14:00:00Z,4,18,0,0,0,0,5,0,90335,0,1.0,2.0,0.0,0,-4654,1340,5994,40,False,0
5,0,0,0,0,0.0,27,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2023-09-24T15:30:00Z,0,15,0,0,0,0,6,0,86650,0,8.0,0.0,0.0,0,-3903,432,4335,40,True,0
6,0,0,3,0,0.1,27,0.0,0.0,0.0,0.47,69,0,0,0.2,1.8,2023-09-30T14:00:00Z,11,19,0,0,0,0,7,0,82570,0,0.0,2.0,0.0,1,-4057,473,4530,40,False,0
7,0,0,11,0,10.2,27,0.0,0.0,0.0,2.14,76,3,0,5.1,38.8,2023-10-07T14:00:00Z,90,10,0,0,0,0,8,0,103919,1,1.0,3.0,2.0,1,12503,18516,6013,39,False,0
8,0,0,9,0,0.3,27,0.0,0.0,0.0,1.05,89,2,0,1.9,16.4,2023-10-21T19:00:00Z,90,14,0,0,0,0,9,0,126919,1,2.0,1.0,2.0,0,23461,29420,5959,39,True,1
9,0,0,13,0,0.2,27,0.0,0.0,0.0,2.78,91,5,0,1.6,16.2,2023-10-28T14:00:00Z,90,1,0,0,0,0,10,0,159850,1,0.0,5.0,0.0,0,29634,37418,7784,39,False,0
10,0,0,8,0,4.2,27,0.02,0.02,0.0,1.33,109,1,0,2.3,17.2,2023-11-04T15:00:00Z,90,20,0,0,0,0,11,0,165040,1,1.0,2.0,2.0,2,6598,13460,6862,39,True,0
11,0,0,14,0,0.8,27,0.01,0.01,0.0,1.54,114,1,0,1.3,9.8,2023-11-12T14:00:00Z,90,5,0,0,0,0,12,0,169197,1,1.0,1.0,2.0,2,3427,10032,6605,39,False,0
12,0,0,16,0,0.8,27,0.01,0.01,0.0,2.71,129,3,0,1.7,14.6,2023-11-25T15:00:00Z,90,3,0,0,0,0,13,0,179953,1,3.0,1.0,2.0,1,8397,14919,6522,39,True,0
13,0,0,12,0,0.9,27,0.0,0.0,0.0,1.81,134,5,0,3.2,27.2,2023-12-02T15:00:00Z,90,6,0,0,0,0,14,0,190348,1,0.0,5.0,4.0,0,10807,16084,5277,39,False,0
14,0,0,9,0,0.8,27,0.0,0.0,0.0,1.31,147,1,0,1.7,16.4,2023-12-06T19:30:00Z,87,11,0,0,0,0,15,0,203735,1,2.0,0.0,0.0,2,12243,17838,5595,39,True,0
15,0,0,15,1,1.6,27,0.01,0.03,0.02,0.64,158,0,0,1.8,14.2,2023-12-09T15:00:00Z,90,4,0,0,0,0,16,0,219818,1,0.0,1.0,2.0,5,13244,19148,5904,39,True,1
16,0,0,14,0,0.3,27,0.0,0.0,0.0,2.75,165,2,0,1.8,17.4,2023-12-16T15:00:00Z,90,7,0,0,0,0,17,0,245043,1,0.0,2.0,0.0,1,19848,29484,9636,39,False,0
17,0,0,7,0,0.0,27,0.0,0.0,0.0,0.89,171,1,0,1.8,18.2,2023-12-22T20:00:00Z,90,2,0,0,0,0,18,0,242987,1,1.0,1.0,0.0,1,862,10278,9416,39,False,1
18,0,0,4,0,1.3,27,0.01,0.16,0.15,0.63,190,3,0,1.7,2.2,2023-12-26T15:00:00Z,90,12,0,0,0,0,19,0,255128,1,3.0,2.0,13.0,1,11745,16908,5163,39,True,0
19,0,0,0,0,0.0,628,0.00,0.00,0.00,0.00,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,15,0,0,0,0,20,0,3454,0,,,0.0,0,-139,8,147,44,True,0
